"","m_name","m_director","m_actor","m_year","m_country","m_type","m_score","m_commit_count","m_detail_url"
"36","十二怒汉","导演: Sidney Lumet","主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...","1957","美国","剧情","9.4","408661","https://movie.douban.com/subject/1293182/"
"37","摔跤吧！爸爸","导演: 涅提·蒂瓦里 Nitesh Tiwari","主演: 阿米尔·汗 Aamir Khan / 法缇玛...","2016","印度","剧情 传记 运动 家庭","9.0","1378628","https://movie.douban.com/subject/26387939/"
"38","哈尔的移动城堡","导演: 宫崎骏 Hayao Miyazaki","主演: 倍赏千惠子 Chieko Baishô / 木村拓...","2004","日本","动画 奇幻 冒险","9.1","874571","https://movie.douban.com/subject/1308807/"
"39","鬼子来了","导演: 姜文 Wen Jiang","主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...","2000","中国大陆","剧情 喜剧","9.3","539435","https://movie.douban.com/subject/1291858/"
"40","少年派的奇幻漂流","导演: 李安 Ang Lee","主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...","2012","美国 中国台湾 英国 加拿大","剧情 奇幻 冒险","9.1","1201452","https://movie.douban.com/subject/1929463/"
"41","何以为家","导演: 娜丁·拉巴基 Nadine Labaki","主演: 扎因·拉费阿 Zain al-Rafeea / ...","2018","黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国","剧情","9.1","896169","https://movie.douban.com/subject/30170448/"
"42","天空之城","导演: 宫崎骏 Hayao Miyazaki","主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...","1986","日本","动画 奇幻 冒险","9.1","724699","https://movie.douban.com/subject/1291583/"
"43","大话西游之月光宝盒","导演: 刘镇伟 Jeffrey Lau","主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...","1995","中国香港 中国大陆","喜剧 爱情 奇幻 古装","9.0","1072444","https://movie.douban.com/subject/1299398/"
"44","天堂电影院","导演: 朱塞佩·托纳多雷 Giuseppe Tornatore","主演: 菲利普·努瓦雷 Philipp...","1988","意大利 法国","剧情 爱情","9.2","600796","https://movie.douban.com/subject/1291828/"
"45","闻香识女人","导演: 马丁·布莱斯 Martin Brest","主演: 阿尔·帕西诺 Al Pacino / 克里斯...","1992","美国","剧情","9.1","754327","https://movie.douban.com/subject/1298624/"
"46","罗马假日","导演: 威廉·惠勒 William Wyler","主演: 奥黛丽·赫本 Audrey Hepburn / 格...","1953","美国","喜剧 剧情 爱情","9.1","843812","https://movie.douban.com/subject/1293839/"
"47","我不是药神","导演: 文牧野 Muye Wen","主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...","2018","中国大陆","剧情 喜剧","9.0","1835002","https://movie.douban.com/subject/26752088/"
"48","指环王2：双塔奇兵","导演: 彼得·杰克逊 Peter Jackson","主演: 伊利亚·伍德 Elijah Wood / 西恩...","2002","美国 新西兰","剧情 动作 奇幻 冒险","9.2","650450","https://movie.douban.com/subject/1291572/"
"49","猫鼠游戏","导演: 史蒂文·斯皮尔伯格 Steven Spielberg","主演: 莱昂纳多·迪卡普里奥 L...","2002","美国 加拿大","传记 犯罪 剧情","9.1","816424","https://movie.douban.com/subject/1305487/"
"50","辩护人","导演: 杨宇硕 Woo-seok Yang","主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...","2013","韩国","剧情","9.2","523073","https://movie.douban.com/subject/21937445/"
"51","钢琴家","导演: 罗曼·波兰斯基 Roman Polanski","主演: 艾德里安·布洛迪 Adrien Brod...","2002","英国 法国 波兰 德国","剧情 传记 战争 音乐","9.2","504592","https://movie.douban.com/subject/1296736/"
"52","指环王1：护戒使者","导演: 彼得·杰克逊 Peter Jackson","主演: 伊利亚·伍德 Elijah Wood / 西恩...","2001","新西兰 美国","剧情 动作 奇幻 冒险","9.1","737201","https://movie.douban.com/subject/1291571/"
"53","死亡诗社","导演: 彼得·威尔 Peter Weir","主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...","1989","美国","剧情","9.1","609343","https://movie.douban.com/subject/1291548/"
